,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
518,2016-06-02,15,10,0.3,1024,19
519,2016-06-03,16,9,0.6,1023,19
520,2016-06-04,17,40,12.4,1011,18
521,2016-06-05,18,45,9.7,999,19
522,2016-06-06,14,26,0.0,999,16
523,2016-06-07,14,20,0.0,1003,17
524,2016-06-08,15,16,0.0,1010,18
525,2016-06-09,16,25,0.0,1007,20
526,2016-06-10,16,15,0.0,1017,19
527,2016-06-11,16,21,0.0,1022,18
528,2016-06-12,13,14,0.1,1035,16
529,2016-06-13,14,4,0.0,1036,19
530,2016-06-14,14,11,0.0,1032,19
531,2016-06-15,16,3,0.0,1031,25
532,2016-06-16,16,17,0.7,1019,16
533,2016-06-17,16,19,0.4,1016,18
534,2016-06-18,16,11,0.1,1016,19
535,2016-06-19,17,18,4.8,1013,17
536,2016-06-20,16,21,0.0,996,18
537,2016-06-21,15,24,0.0,1003,17
538,2016-06-22,14,27,0.0,1006,17
539,2016-06-23,13,15,0.0,1010,16
540,2016-06-24,13,32,0.0,1004,15
541,2016-06-25,10,23,0.0,1018,13
542,2016-06-26,10,6,0.0,1018,15
543,2016-06-27,10,17,0.0,1014,13
544,2016-06-28,11,19,0.0,1023,15
545,2016-06-29,11,6,0.0,1026,19
546,2016-06-30,12,18,0.0,1018,16
547,2016-07-01,12,22,0.0,1016,15
548,2016-07-02,12,13,0.0,1024,17
549,2016-07-03,11,8,0.0,1024,17
550,2016-07-04,10,9,0.0,1018,14
551,2016-07-05,12,11,0.0,1008,16
552,2016-07-06,13,30,0.0,1003,16
553,2016-07-07,15,27,1.1,1016,16
554,2016-07-08,14,9,0.9,1019,16
555,2016-07-09,14,16,0.0,1022,17
556,2016-07-10,14,4,0.0,1022,18
557,2016-07-11,16,18,0.9,1012,18
558,2016-07-12,15,31,0.0,1008,18
559,2016-07-13,11,37,0.0,1019,13
560,2016-07-14,10,15,0.0,1027,14
561,2016-07-15,10,10,0.0,1028,17
562,2016-07-16,14,12,0.0,1030,17
563,2016-07-17,16,4,0.0,1028,19
564,2016-07-18,13,12,0.0,1024,14
565,2016-07-19,13,18,0.3,1016,16
566,2016-07-20,13,23,0.0,1017,16
567,2016-07-21,13,20,0.0,1020,16
568,2016-07-22,13,16,0.3,1021,16
569,2016-07-23,13,15,0.1,1021,17
570,2016-07-24,14,13,0.1,1021,17
571,2016-07-25,13,12,0.3,1020,17
572,2016-07-26,13,15,0.0,1018,17
573,2016-07-27,13,11,0.1,1021,17
574,2016-07-28,13,9,0.0,1022,19
575,2016-07-29,11,10,0.0,1020,17
576,2016-07-30,13,7,0.0,1021,19
577,2016-07-31,14,10,0.0,1016,18
578,2016-08-01,14,12,0.0,1014,19
579,2016-08-02,13,32,0.2,1014,14
580,2016-08-03,14,26,1.2,1018,14
581,2016-08-04,14,26,0.0,1025,15
582,2016-08-05,14,17,0.8,1029,15
583,2016-08-06,13,13,0.7,1027,16
584,2016-08-07,13,10,0.2,1025,17
585,2016-08-08,14,7,0.0,1024,19
586,2016-08-09,14,12,0.0,1019,19
587,2016-08-10,17,19,0.0,1014,24
588,2016-08-11,15,21,0.0,1018,18
589,2016-08-12,12,10,0.0,1021,16
590,2016-08-13,13,8,0.0,1021,19
