,Date,Temp,Wind,Precip,Pressure,Heat
335,2015-12-02,19.25,16.75,0.725,1017.25,23.5
336,2015-12-03,19.75,23.25,0.2,1019.5,24.25
337,2015-12-04,20,19.75,0,1019,23
338,2015-12-05,21.5,17.75,0,1015.5,26.5
339,2015-12-06,22,17.5,0,1014.5,27.5
340,2015-12-07,22.25,20.5,0,1014.5,26.25
341,2015-12-08,20.25,20,0.025,1016.25,26.5
342,2015-12-09,21.5,16.75,0,1016.25,29
343,2015-12-10,20,16.75,0.025,1014.5,27.25
344,2015-12-11,21.5,17.75,0.05,1010.75,28.75
345,2015-12-12,18.75,19.25,1.275,1014.5,23
346,2015-12-13,20.25,20.75,0.05,1014.5,26
347,2015-12-14,21.5,15.25,0.025,1013.75,28.5
348,2015-12-15,22.25,15.5,0.475,1012,29.25
349,2015-12-16,22.75,20.25,2.325,1013.25,27.75
350,2015-12-17,23.75,19.25,0.15,1012,29.25
351,2015-12-18,23.5,11.75,0.125,1012.5,28.25
352,2015-12-19,20.75,18,0.2,1011,26.25
353,2015-12-20,20.75,17.25,0.175,1012.25,26.5
354,2015-12-21,21.75,20.25,0.125,1015.25,27
355,2015-12-22,22.5,16,1.175,1016.75,26.75
356,2015-12-23,23.25,16.25,0.125,1012.75,29
357,2015-12-24,22.5,18.5,0.35,1012.5,27.5
358,2015-12-25,21.5,18,0,1010.75,28
359,2015-12-26,20.25,19,0,1011.75,27.25
360,2015-12-27,20.75,14.75,0.5,1016.5,26.75
361,2015-12-28,21.5,19,0.125,1017.5,26.5
362,2015-12-29,21.75,18,0.1,1011.25,27.75
363,2015-12-30,22,18.25,0,1012.75,28.25
364,2015-12-31,23,18,0.025,1012.75,28.5
365,2016-01-01,21.25,18.75,0,1012.25,28
366,2016-01-02,22,16,0,1010.75,28
367,2016-01-03,22.5,16,0.325,1012,27.75
368,2016-01-04,21.5,16.5,0.425,1012.25,25.5
369,2016-01-05,22.5,15.25,0.225,1011.25,27.75
370,2016-01-06,20.5,20,1.375,1011,27
